Title,ArtistName,Rank,Weeks,isNew,Target
shape of you,,0,0,1,1
that's what i like,,0,0,1,1
bad and boujee,,0,0,1,1
i don't wanna live forever ,,0,0,1,1
i feel it coming,,0,0,1,1
tunnel vision,,0,0,1,1
love on the brain,,0,0,1,1
something just like this,,0,0,1,1
paris,,0,0,1,1
ispy,,0,0,1,1
bounce back,,0,0,1,1
rockabye,,0,0,1,1
closer,,0,0,1,1
no frauds,,0,0,1,1
chained to the rhythm,,0,0,1,1
cold,,0,0,1,1
it ain't me,,0,0,1,1
body like a back road,,0,0,1,1
mask off,,0,0,1,1
mercy,,0,0,1,1
say you won't let go,,0,0,1,1
24k magic,,0,0,1,1
down,,0,0,1,1
issues,,0,0,1,1
scars to your beautiful,,0,0,1,1
t-shirt,,0,0,1,1
stay,,0,0,1,1
can't stop the feeling!,,0,0,1,1
bad things,,0,0,1,1
starboy,,0,0,1,1
fake love,,0,0,1,1
congratulations,,0,0,1,1
swang,,0,0,1,1
rolex,,0,0,1,1
location,,0,0,1,1
don't wanna know,,0,0,1,1
dirt on my boots,,0,0,1,1
million reasons,,0,0,1,1
green light,,0,0,1,1
black beatles,,0,0,1,1
let me love you,,0,0,1,1
believer,,0,0,1,1
water under the bridge,,0,0,1,1
party,,0,0,1,1
heathens,,0,0,1,1
how far i'll go,,0,0,1,1
make me ,,0,0,1,1
slide,,0,0,1,1
caroline,,0,0,1,1
goosebumps,,0,0,1,1
both,,0,0,1,1
castle on the hill,,0,0,1,1
despacito,,0,0,1,1
think a little less,,0,0,1,1
everyday,,0,0,1,1
redbone,,0,0,1,1
deja vu,,0,0,1,1
play that song,,0,0,1,1
selfish,,0,0,1,1
perfect,,0,0,1,1
regret in your tears,,0,0,1,1
better man,,0,0,1,1
galway girl,,0,0,1,1
fast,,0,0,1,1
look at me!,,0,0,1,1
hurricane,,0,0,1,1
shining,,0,0,1,1
in case you didn't know,,0,0,1,1
heavy,,0,0,1,1
any ol' barstool,,0,0,1,1
changed it,,0,0,1,1
chanel,,0,0,1,1
moves,,0,0,1,1
draco,,0,0,1,1
call on me,,0,0,1,1
how far i'll go,,0,0,1,1
party monster,,0,0,1,1
liability,,0,0,1,1
losin control,,0,0,1,1
road less traveled,,0,0,1,1
hometown girl,,0,0,1,1
i got you,,0,0,1,1
kill a word,,0,0,1,1
the weekend,,0,0,1,1
dive,,0,0,1,1
sober saturday night,,0,0,1,1
the fighter,,0,0,1,1
black,,0,0,1,1
today,,0,0,1,1
selfish,,0,0,1,1
yeah boy,,0,0,1,1
you're welcome,,0,0,1,1
good drank,,0,0,1,1
happier,,0,0,1,1
prblms,,0,0,1,1
comin out strong,,0,0,1,1
chantaje,,0,0,1,1
el amante,,0,0,1,1
slippery,,0,0,1,1
scared to be lonely,,0,0,1,1
see you again,,0,0,1,1
bad blood,,0,0,1,1
trap queen,,0,0,1,1
shut up and dance,,0,0,1,1
want to want me,,0,0,1,1
uptown funk!,,0,0,1,1
cheerleader,,0,0,1,1
earned it ,,0,0,1,1
hey mama,,0,0,1,1
honey  i'm good.,,0,0,1,1
watch me,,0,0,1,1
sugar,,0,0,1,1
you know you like it,,0,0,1,1
talking body,,0,0,1,1
worth it,,0,0,1,1
where are u now,,0,0,1,1
post to be,,0,0,1,1
nasty freestyle,,0,0,1,1
fight song,,0,0,1,1
lean on,,0,0,1,1
thinking out loud,,0,0,1,1
love me like you do,,0,0,1,1
the hills,,0,0,1,1
can't feel my face,,0,0,1,1
this summer's gonna hurt...,,0,0,1,1
b**** better have my money,,0,0,1,1
flex ,,0,0,1,1
girl crush,,0,0,1,1
slow motion,,0,0,1,1
