Title,ArtistName,Ranks,Weeks,isNew,Target
kod,j. cole,65,8,0,1
everything's gonna be alright,david lee murphy ,66,8,0,1
fire,kids see ghosts,67,1,1,1
esskeetit,lil pump,68,9,0,1
cudi montage,kids see ghosts,69,1,1,1
praise the lord ,a$ap rocky ,70,3,0,1
fake love,bts,71,4,0,1
japan,famous dex,72,12,0,1
kids see ghosts,kids see ghosts,73,1,1,1
alone,halsey ,74,9,0,1
powerglide,rae sremmurd ,75,15,0,1
i lived it,blake shelton,76,15,0,1
overdose,youngboy never broke again,77,7,0,1
lovely,billie eilish ,78,3,0,1
youngblood,5 seconds of summer,79,2,0,1
dame tu cosita,pitbull x el chombo x karol g ,80,8,0,1
otw,khalid  ty dolla $ign ,81,8,0,1
zombie,bad wolves,82,14,0,1
me niego,reik ,83,2,0,1
lose it,kane brown,84,1,1,1
violent crimes,kanye west,85,2,0,1
i was jack ,jake owen,86,3,0,1
sativa,jhene aiko ,87,14,0,1
rich sex,nicki minaj ,88,1,1,1
life goes on,lil baby ,89,4,0,1
i know you,lil skies ,90,1,1,1
el farsante,ozuna ,91,20,0,1
wouldn't leave,kanye west ,92,2,0,1
beautiful crazy,luke combs,93,4,0,1
sin pijama,becky g + natti natasha,94,2,0,1
babe,sugarland ,95,2,0,1
drip,cardi b ,96,10,0,1
big bank,yg ,97,3,0,1
singles you up,jordan davis,98,19,0,1
take back home girl,chris lane ,99,3,0,1
welcome to the party,diplo  french montana ,100,3,0,1
bad and boujee,migos ,1,11,0,1
shape of you,ed sheeran,2,3,0,1
closer,the chainsmokers ,3,26,0,1
bad things,machine gun kelly x camila cabello,4,13,0,1
i don't wanna live forever ,zayn / taylor swift,5,7,0,1
black beatles,rae sremmurd ,6,20,0,1
don't wanna know,maroon 5 ,7,16,0,1
starboy,the weeknd ,8,19,0,1
fake love,drake,9,14,0,1
scars to your beautiful,alessia cara,10,22,0,1
24k magic,bruno mars,11,16,0,1
side to side,ariana grande ,12,22,0,1
paris,the chainsmokers,13,2,0,1
love on the brain,rihanna,14,15,0,1
bounce back,big sean,15,12,0,1
let me love you,dj snake ,16,25,0,1
caroline,amine,17,21,0,1
i feel it coming,the weeknd ,18,10,0,1
all time low,jon bellion,19,16,0,1
starving,hailee steinfeld ,20,26,0,1
mercy,shawn mendes,21,19,0,1
heathens,twenty one pilots,22,32,0,1
can't stop the feeling!,justin timberlake,23,38,0,1
this town,niall horan,24,18,0,1
broccoli,d.r.a.m. ,25,33,0,1
water under the bridge,adele,26,12,0,1
cheap thrills,sia ,27,50,0,1
treat you better,shawn mendes,28,34,0,1
ispy,kyle ,29,5,0,1
juju on that beat ,zay hilfigerrr ,30,18,0,1
say you won't let go,james arthur,31,14,0,1
rockabye,clean bandit ,32,8,0,1
love me now,john legend,33,14,0,1
don't let me down,the chainsmokers ,34,50,0,1
better man,little big town,35,13,0,1
blue ain't your color,keith urban,36,20,0,1
t-shirt,migos,37,2,0,1
the greatest,sia ,38,21,0,1
castle on the hill,ed sheeran,39,3,0,1
party,chris brown ,40,6,0,1
x,21 savage ,41,20,0,1
a guy with a girl,blake shelton,42,11,0,1
chill bill,rob $tone ,43,26,0,1
dirt on my boots,jon pardi,44,8,0,1
star of the show,thomas rhett,45,13,0,1
deja vu,j. cole,46,7,0,1
used to this,future ,47,12,0,1
cold water,major lazer ,48,27,0,1
both,gucci mane ,49,6,0,1
party monster,the weeknd,50,10,0,1
goosebumps,travis scott,51,12,0,1
down,marian hill,52,2,0,1
handclap,fitz and the tantrums,53,18,0,1
way down we go,kaleo,54,5,0,1
seein' red,dustin lynch,55,5,0,1
i got you,bebe rexha,56,4,0,1
make me ,noah cyrus ,57,7,0,1
congratulations,post malone ,58,5,0,1
chantaje,shakira ,59,11,0,1
play that song,train,60,9,0,1
no heart,21 savage ,61,14,0,1
think a little less,michael ray,62,5,0,1
sober saturday night,chris young ,63,4,0,1
location,khalid,64,3,0,1
how far i'll go,auli'i cravalho,65,9,0,1
dirty laundry,carrie underwood,66,15,0,1
selfish,pnb rock,67,12,0,1
how far i'll go,alessia cara,68,8,0,1
wanna be that song,brett eldredge,69,17,0,1
fresh eyes,andy grammer,70,17,0,1
kill a word,eric church ,71,7,0,1
moves,big sean,72,5,0,1
otw,dj luke nasty,73,6,0,1
today,brad paisley,74,4,0,1
swang,rae sremmurd,75,6,0,1
redbone,childish gambino,76,9,0,1
despacito,luis fonsi ,77,2,0,1
80s mercedes,maren morris,78,11,0,1
the weekend,brantley gilbert,79,4,0,1
if the boot fits,granger smith,80,2,0,1
fast,luke bryan,81,1,1,1
that's what i like,bruno mars,82,2,0,1
not nice,partynextdoor,83,2,0,1
guys my age,hey violet,84,1,1,1
sex with me,rihanna,85,13,0,1
road less traveled,lauren alaina,86,1,1,1
issues,julia michaels,87,1,1,1
call on me,starley,88,4,0,1
alone,marshmello,89,9,0,1
black,dierks bentley,90,2,0,1
love on the weekend,john mayer,91,2,0,1
good drank,2 chainz x gucci mane x quavo,92,1,1,1
any ol' barstool,jason aldean,93,1,1,1
dancing on my own,calum scott,94,1,1,1
sneakin',drake ,95,14,0,1
song for another time,old dominion,96,18,0,1
million reasons,lady gaga,97,11,0,1
say it,flume ,98,4,0,1
water,ugly god,99,4,0,1
running back,wale ,100,1,1,1
party rock anthem,lmfao ,1,20,0,1
last friday night ,katy perry,2,11,0,1
super bass,nicki minaj,3,15,0,1
give me everything,pitbull ,4,19,0,1
lighters,bad meets evil ,5,8,0,1
how to love,lil wayne,6,11,0,1
i wanna go,britney spears,7,9,0,1
moves like jagger,maroon 5 ,8,7,0,1
rolling in the deep,adele,9,31,0,1
tonight tonight,hot chelle rae,10,17,0,1
good life,onerepublic,11,19,0,1
the edge of glory,lady gaga,12,13,0,1
pumped up kicks,foster the people,13,15,0,1
if i die young,the band perry,14,37,0,1
i'm on one,dj khaled ,15,12,0,1
dirt road anthem,jason aldean,16,18,0,1
best thing i never had,beyonce,17,10,0,1
remind me,brad paisley duet with carrie underwood,18,9,0,1
motivation,kelly rowland ,19,17,0,1
otis,jay z kanye west ,20,3,0,1
knee deep,zac brown band ,21,13,0,1
just a kiss,lady antebellum,22,14,0,1
e.t.,katy perry ,23,26,0,1
barefoot blue jean night,jake owen,24,15,0,1
just can't get enough,the black eyed peas,25,25,0,1
you make me feel...,cobra starship ,26,4,0,1
where them girls at,david guetta ,27,14,0,1
country girl ,luke bryan,28,16,0,1
she ain't you,chris brown,29,17,0,1
the lazy song,bruno mars,30,24,0,1
rain over me,pitbull ,31,6,0,1
stereo hearts,gym class heroes ,32,8,0,1
you and tequila,kenny chesney ,33,11,0,1
on the floor,jennifer lopez ,34,24,0,1
the show goes on,lupe fiasco,35,32,0,1
honey bee,blake shelton,36,18,0,1
marvins room,drake,37,3,0,1
every teardrop is a waterfall,coldplay,38,10,0,1
don't wanna go home,jason derulo,39,12,0,1
till the world ends,britney spears ,40,23,0,1
i'm into you,jennifer lopez ,41,12,0,1
my last,big sean ,42,20,0,1
out of my head,lupe fiasco ,43,11,0,1
am i the only one,dierks bentley,44,14,0,1
sure thing,miguel,45,22,0,1
crazy girl,eli young band,46,22,0,1
take a back road,rodney atkins,47,10,0,1
look at me now,chris brown ,48,27,0,1
don't you wanna stay,jason aldean with kelly clarkson,49,30,0,1
cheers ,rihanna,50,2,0,1
god gave me you,blake shelton,51,4,0,1
take over control,afrojack ,52,8,0,1
homeboy,eric church,53,21,0,1
keep your head up,andy grammer,54,10,0,1
made in america,toby keith,55,9,0,1
love you like a love song,selena gomez ,56,7,0,1
someone like you,adele,57,5,0,1
best love song,t-pain ,58,20,0,1
mr. saxobeat,alexandra stan,59,4,0,1
california king bed,rihanna,60,12,0,1
marvin & chardonnay,big sean ,61,3,0,1
love done gone,billy currington,62,8,0,1
better with the lights off,new boyz ,63,6,0,1
just fishin',trace adkins,64,10,0,1
long hot summer,keith urban,65,4,0,1
hello,martin solveig ,66,18,0,1
never gonna leave this bed,maroon 5,67,15,0,1
smile,avril lavigne,68,5,0,1
i love you this big,scotty mccreery,69,11,0,1
here for a good time,george strait,70,6,0,1
man down,rihanna,71,11,0,1
right there,nicole scherzinger ,72,12,0,1
pretty girls,iyaz ,73,5,0,1
booty wurk ,t-pain ,74,4,0,1
country must be country wide,brantley gilbert,75,6,0,1
if heaven wasn't so far away,justin moore,76,20,0,1
under and over it,five finger death punch,77,1,1,1
gucci gucci,kreayshawn,78,2,0,1
on my level,wiz khalifa ,79,7,0,1
easy,rascal flatts ,80,2,0,1
the adventures of rain dance maggie,red hot chili peppers,81,3,0,1
unusual,trey songz ,82,10,0,1
quickie,miguel,83,3,0,1
save me  san francisco,train,84,7,0,1
lights,ellie goulding,85,1,1,1
skyscraper,demi lovato,86,4,0,1
ships in the night,mat kearney,87,1,1,1
set fire to the rain,adele,88,3,0,1
don't stop the party,the black eyed peas,89,2,0,1
faster,matt nathanson,90,2,0,1
walk,foo fighters,91,5,0,1
in the dark,dev,92,1,1,1
john,lil wayne ,93,20,0,1
old alabama,brad paisley ,94,18,0,1
fish,craig campbell,95,2,0,1
till i'm gone,tinie tempah ,96,1,1,1
one more drinkin' song,jerrod niemann,97,2,0,1
far away,tyga ,98,1,1,1
rumour has it,adele,99,2,0,1
oh my,dj drama ,100,3,0,1
shape of you,ed sheeran,1,6,0,1
i don't wanna live forever ,zayn / taylor swift,2,10,0,1
bad and boujee,migos ,3,14,0,1
chained to the rhythm,katy perry ,4,1,1,1
closer,the chainsmokers ,5,29,0,1
bad things,machine gun kelly x camila cabello,6,16,0,1
that's what i like,bruno mars,7,5,0,1
love on the brain,rihanna,8,18,0,1
i feel it coming,the weeknd ,9,13,0,1
bounce back,big sean,10,15,0,1
paris,the chainsmokers,11,5,0,1
fake love,drake,12,17,0,1
24k magic,bruno mars,13,19,0,1
starboy,the weeknd ,14,22,0,1
scars to your beautiful,alessia cara,15,25,0,1
black beatles,rae sremmurd ,16,23,0,1
don't wanna know,maroon 5 ,17,19,0,1
million reasons,lady gaga,18,13,0,1
mercy,shawn mendes,19,22,0,1
ispy,kyle ,20,8,0,1
caroline,amine,21,24,0,1
rockabye,clean bandit ,22,11,0,1
say you won't let go,james arthur,23,17,0,1
side to side,ariana grande ,24,25,0,1
can't stop the feeling!,justin timberlake,25,41,0,1
all time low,jon bellion,26,19,0,1
body like a back road,sam hunt,27,3,0,1
let me love you,dj snake ,28,28,0,1
t-shirt,migos,29,5,0,1
down,marian hill,30,5,0,1
water under the bridge,adele,31,15,0,1
heathens,twenty one pilots,32,35,0,1
congratulations,post malone ,33,8,0,1
issues,julia michaels,34,4,0,1
better man,little big town,35,16,0,1
treat you better,shawn mendes,36,37,0,1
broccoli,d.r.a.m. ,37,36,0,1
this town,niall horan,38,21,0,1
dirt on my boots,jon pardi,39,11,0,1
starving,hailee steinfeld ,40,29,0,1
party,chris brown ,41,9,0,1
cold,maroon 5 ,42,1,1,1
i got you,bebe rexha,43,7,0,1
location,khalid,44,6,0,1
moves,big sean,45,8,0,1
make me ,noah cyrus ,46,10,0,1
sober saturday night,chris young ,47,7,0,1
juju on that beat ,zay hilfigerrr ,48,21,0,1
both,gucci mane ,49,9,0,1
deja vu,j. cole,50,10,0,1
love me now,john legend,51,17,0,1
castle on the hill,ed sheeran,52,6,0,1
the fighter,keith urban ,53,2,0,1
bom bidi bom,nick jonas ,54,1,1,1
despacito,luis fonsi ,55,5,0,1
think a little less,michael ray,56,8,0,1
swang,rae sremmurd,57,9,0,1
party monster,the weeknd,58,13,0,1
play that song,train,59,12,0,1
used to this,future ,60,15,0,1
goosebumps,travis scott,61,15,0,1
shining,dj khaled ,62,1,1,1
no favors,big sean ,63,2,0,1
star of the show,thomas rhett,64,16,0,1
seein' red,dustin lynch,65,8,0,1
believer,imagine dragons,66,2,0,1
today,brad paisley,67,7,0,1
guys my age,hey violet,68,4,0,1
a guy with a girl,blake shelton,69,14,0,1
call on me,starley,70,7,0,1
helium,sia,71,1,1,1
fast,luke bryan,72,4,0,1
kill a word,eric church ,73,10,0,1
look at me!,xxxtentacion,74,2,0,1
in case you didn't know,brett young,75,2,0,1
any ol' barstool,jason aldean,76,4,0,1
heroe favorito,romeo santos,77,1,1,1
chantaje,shakira ,78,14,0,1
slippery,migos ,79,3,0,1
the weekend,brantley gilbert,80,7,0,1
way down we go,kaleo,81,8,0,1
no heart,21 savage ,82,17,0,1
not nice,partynextdoor,83,5,0,1
everything 1k,kodak black,84,1,1,1
everyday,ariana grande ,85,1,1,1
road less traveled,lauren alaina,86,4,0,1
rolex,ayo ,87,1,1,1
cash me outside ,dj suede the remix god,88,1,1,1
selfish,pnb rock,89,15,0,1
wanna be that song,brett eldredge,90,20,0,1
how far i'll go,alessia cara,91,11,0,1
black,dierks bentley,92,4,0,1
it ain't me,kygo x selena gomez,93,1,1,1
yeah boy,kelsea ballerini,94,1,1,1
sex with me,rihanna,95,15,0,1
hurricane,luke combs,96,1,1,1
some kind of drug,g-eazy ,97,3,0,1
el amante,nicky jam,98,2,0,1
redbone,childish gambino,99,12,0,1
scared to be lonely,martin garrix ,100,2,0,1
despacito,luis fonsi ,1,28,0,1
wild thoughts,dj khaled ,2,6,0,1
that's what i like,bruno mars,3,28,0,1
i'm the one,dj khaled ,4,13,0,1
believer,imagine dragons,5,25,0,1
unforgettable,french montana ,6,16,0,1
shape of you,ed sheeran,7,29,0,1
there's nothing holdin' me back,shawn mendes,8,14,0,1
attention,charlie puth,9,14,0,1
body like a back road,sam hunt,10,26,0,1
congratulations,post malone ,11,31,0,1
humble.,kendrick lamar,12,17,0,1
redbone,childish gambino,13,34,0,1
stay,zedd ,14,22,0,1
something just like this,the chainsmokers ,15,23,0,1
strip that down,liam payne ,16,10,0,1
xo tour llif3,lil uzi vert,17,18,0,1
slow hands,niall horan,18,13,0,1
now or never,halsey,19,16,0,1
mask off,future,20,23,0,1
bank account,21 savage,21,3,0,1
it ain't me,kygo x selena gomez,22,24,0,1
feels,calvin harris ,23,6,0,1
say you won't let go,james arthur,24,40,0,1
castle on the hill,ed sheeran,25,29,0,1
sorry not sorry,demi lovato,26,3,0,1
location,khalid,27,29,0,1
bodak yellow ,cardi b,28,4,0,1
2u,david guetta ,29,7,0,1
mi gente,j balvin ,30,4,0,1
slippery,migos ,31,18,0,1
rake it up,yo gotti ,32,4,0,1
magnolia,playboi carti,33,13,0,1
numb,linkin park,34,33,0,1
issues,julia michaels,35,27,0,1
everyday we lit,yfn lucci ,36,16,0,1
in the end,linkin park,37,39,0,1
praying,kesha,38,3,0,1
closer,the chainsmokers ,39,52,0,1
back to you,louis tomlinson ,40,1,1,1
fetish,selena gomez ,41,3,0,1
malibu,miley cyrus,42,12,0,1
drowning,a boogie wit da hoodie ,43,17,0,1
in case you didn't know,brett young,44,25,0,1
heavy,linkin park ,45,18,0,1
love galore,sza ,46,7,0,1
the fighter,keith urban ,47,23,0,1
craving you,thomas rhett ,48,17,0,1
small town boy,dustin lynch,49,8,0,1
rolex,ayo ,50,24,0,1
whatever you need,meek mill ,51,3,0,1
my girl,dylan scott,52,14,0,1
versace on the floor,bruno mars,53,7,0,1
bad liar,selena gomez,54,11,0,1
feel it still,portugal. the man,55,6,0,1
felices los 4,maluma,56,11,0,1
1-800-273-8255,logic ,57,13,0,1
do i make you wanna,billy currington,58,7,0,1
dna.,kendrick lamar,59,15,0,1
drinkin' problem,midland,60,12,0,1
what's my name,china anne mcclain  thomas doherty ,61,1,1,1
it's a vibe,2 chainz ,62,7,0,1
what ifs,kane brown ,63,7,0,1
loyalty.,kendrick lamar ,64,15,0,1
butterfly effect,travis scott,65,9,0,1
no such thing as a broken heart,old dominion,66,9,0,1
flatliner,cole swindell,67,14,0,1
no promises,cheat codes ,68,11,0,1
thunder,imagine dragons,69,13,0,1
you look good,lady antebellum,70,16,0,1
escapate conmigo,wisin ,71,7,0,1
most girls,hailee steinfeld,72,10,0,1
heartache on the dance floor,jon pardi,73,4,0,1
crew,goldlink ,74,5,0,1
love.,kendrick lamar ,75,15,0,1
somebody else will,justin moore,76,8,0,1
issues,meek mill,77,1,1,1
privacy,chris brown,78,13,0,1
wins & losses,meek mill,79,1,1,1
passionfruit,drake,80,19,0,1
it's goin' down,descendants 2 cast,81,1,1,1
young dumb & broke,khalid,82,2,0,1
1942 flows,meek mill,83,1,1,1
first day out,tee grizzley,84,17,0,1
glorious,macklemore ,85,3,0,1
swalla,jason derulo ,86,19,0,1
yours if you want it,rascal flatts,87,10,0,1
4 am,2 chainz ,88,8,0,1
god  your mama  and me,florida georgia line ,89,18,0,1
down,fifth harmony ,90,7,0,1
imitadora,romeo santos,91,1,1,1
subeme la radio,enrique iglesias ,92,8,0,1
it ain't my fault,brothers osborne,93,6,0,1
el amante,nicky jam,94,12,0,1
the story of o.j.,jay-z,95,3,0,1
we ball,meek mill ,96,1,1,1
f**k that check up,meek mill ,97,1,1,1
signs,drake,98,5,0,1
heavy heart,meek mill,99,1,1,1
reminder,the weeknd,100,12,0,1
despacito,luis fonsi ,1,21,0,1
that's what i like,bruno mars,2,21,0,1
i'm the one,dj khaled ,3,6,0,1
shape of you,ed sheeran,4,22,0,1
humble.,kendrick lamar,5,10,0,1
mask off,future,6,16,0,1
xo tour llif3,lil uzi vert,7,11,0,1
something just like this,the chainsmokers ,8,16,0,1
stay,zedd ,9,15,0,1
congratulations,post malone ,10,24,0,1
say you won't let go,james arthur,11,33,0,1
issues,julia michaels,12,20,0,1
believer,imagine dragons,13,18,0,1
body like a back road,sam hunt,14,19,0,1
it ain't me,kygo x selena gomez,15,17,0,1
redbone,childish gambino,16,27,0,1
unforgettable,french montana ,17,9,0,1
there's nothing holdin' me back,shawn mendes,18,7,0,1
ispy,kyle ,19,24,0,1
in case you didn't know,brett young,20,18,0,1
now or never,halsey,21,9,0,1
location,khalid,22,22,0,1
castle on the hill,ed sheeran,23,22,0,1
rolex,ayo ,24,17,0,1
sign of the times,harry styles,25,9,0,1
malibu,miley cyrus,26,5,0,1
dna.,kendrick lamar,27,8,0,1
slow hands,niall horan,28,6,0,1
swalla,jason derulo ,29,12,0,1
bad and boujee,migos ,30,30,0,1
attention,charlie puth,31,7,0,1
closer,the chainsmokers ,32,45,0,1
swang,rae sremmurd,33,25,0,1
passionfruit,drake,34,12,0,1
slide,calvin harris ,35,15,0,1
goosebumps,travis scott,36,30,0,1
hurricane,luke combs,37,17,0,1
tunnel vision,kodak black,38,16,0,1
t-shirt,migos,39,21,0,1
magnolia,playboi carti,40,6,0,1
24k magic,bruno mars,41,35,0,1
down,fifth harmony ,42,1,1,1
slippery,migos ,43,11,0,1
drowning,a boogie wit da hoodie ,44,10,0,1
bad liar,selena gomez,45,4,0,1
the cure,lady gaga,46,8,0,1
scars to your beautiful,alessia cara,47,41,0,1
the fighter,keith urban ,48,18,0,1
rockabye,clean bandit ,49,27,0,1
god  your mama  and me,florida georgia line ,50,11,0,1
strip that down,liam payne ,51,3,0,1
craving you,thomas rhett ,52,10,0,1
to the max,dj khaled ,53,1,1,1
if i told you,darius rucker,54,8,0,1
look at me!,xxxtentacion,55,18,0,1
crying in the club,camila cabello,56,3,0,1
love.,kendrick lamar ,57,8,0,1
cold,maroon 5 ,58,17,0,1
first day out,tee grizzley,59,10,0,1
how not to,dan + shay,60,10,0,1
my girl,dylan scott,61,7,0,1
everyday we lit,yfn lucci ,62,9,0,1
every time i hear that song,blake shelton,63,5,0,1
portland,drake ,64,12,0,1
1-800-273-8255,logic ,65,6,0,1
you look good,lady antebellum,66,9,0,1
heavy,linkin park ,67,16,0,1
privacy,chris brown,68,6,0,1
drinkin' problem,midland,69,5,0,1
felices los 4,maluma,70,4,0,1
black,dierks bentley,71,18,0,1
flatliner,cole swindell,72,7,0,1
4 am,2 chainz ,73,1,1,1
loyalty.,kendrick lamar ,74,8,0,1
losin control,russ,75,15,0,1
yours if you want it,rascal flatts,76,3,0,1
no promises,cheat codes ,77,4,0,1
no such thing as a broken heart,old dominion,78,2,0,1
weak,ajr,79,5,0,1
wokeuplikethis*,playboi carti ,80,6,0,1
thunder,imagine dragons,81,6,0,1
whatever you need,meek mill ,82,1,1,1
swish swish,katy perry ,83,3,0,1
good drank,2 chainz x gucci mane x quavo,84,13,0,1
small town boy,dustin lynch,85,1,1,1
most girls,hailee steinfeld,86,3,0,1
know no better,major lazer ,87,1,1,1
do re mi,blackbear,88,7,0,1
peek a boo,lil yachty ,89,4,0,1
hometown girl,josh turner,90,15,0,1
gyalchester,drake,91,10,0,1
met gala,gucci mane ,92,2,0,1
butterfly effect,travis scott,93,2,0,1
it's everyday bro,jake paul ,94,1,1,1
scared to be lonely,martin garrix ,95,14,0,1
subeme la radio,enrique iglesias ,96,4,0,1
somebody else will,justin moore,97,1,1,1
bon appetit,katy perry ,98,5,0,1
nobody else but you,trey songz,99,1,1,1
human,rag'n'bone man,100,7,0,1
just the way you are,bruno mars,1,11,0,1
like a g6,far*east movement ,2,8,0,1
teenage dream,katy perry,3,11,0,1
just a dream,nelly,4,7,0,1
dj got us fallin' in love,usher ,5,12,0,1
dynamite,taio cruz,6,18,0,1
love the way you lie,eminem ,7,15,0,1
only girl ,rihanna,8,4,0,1
i like it,enrique iglesias ,9,21,0,1
club can't handle me,flo rida ,10,14,0,1
bottoms up,trey songz ,11,8,0,1
mine,taylor swift,12,9,0,1
take it off,ke$ha,13,12,0,1
deuces,chris brown ,14,14,0,1
animal,neon trees,15,18,0,1
