Artist,Track,Year,Month,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Followers,Popularity,Ranks,Weeks,isNew,Target
call on me,starley,2016,10,0.67,0.838,0,-4.031,1,0.0362,0.0604,0.000611,0.159,0.717,104.998,72302,65,70,7,0,1
helium,sia,2017,02,0.435,0.401,4,-6.721,1,0.0301,0.51,0,0.077,0.133,136.837,14291437,86,71,1,1,1
fast,luke bryan,2015,08,0.548,0.898,0,-2.561,0,0.0459,0.225,0,0.1,0.599,145.953,4596446,79,72,4,0,1
kill a word,eric church,2015,11,0.651,0.732,2,-8.037,1,0.0381,0.0164,1.58e-06,0.0925,0.638,85.023,2242221,75,73,10,0,1
look at me!,xxxtentacion,2017,02,0.763,0.726,1,-6.405,1,0.282,0.259,0,0.0976,0.349,139.059,15967406,92,74,2,0,1
in case you didn't know,brett young,2017,02,0.607,0.536,10,-7.306,1,0.0305,0.386,0,0.102,0.434,147.986,432230,74,75,2,0,1
any ol' barstool,jason aldean,2016,09,0.536,0.722,4,-4.163,1,0.0284,0.312,0,0.117,0.499,143.78,3387757,79,76,4,0,1
heroe favorito,romeo santos,2017,07,0.799,0.655,1,-6.34,1,0.0485,0.659,0,0.135,0.82,128.038,9194966,85,77,1,1,1
chantaje,shakira,2017,05,0.852,0.773,8,-2.921,0,0.0776,0.187,3.05e-05,0.159,0.907,102.034,17478193,84,78,14,0,1
slippery,migos,2017,01,0.92,0.674,1,-5.662,0,0.264,0.307,0,0.104,0.741,141.967,9525378,85,79,3,0,1
the weekend,brantley gilbert,2017,01,0.511,0.812,6,-4.763,0,0.0464,0.0496,1.64e-06,0.0829,0.692,81.992,1708582,73,80,7,0,1
way down we go,kaleo,2016,06,0.489,0.505,10,-8.022,0,0.117,0.579,0.000333,0.104,0.337,163.255,812456,71,81,8,0,1
no heart,21 savage,2016,07,0.906,0.444,4,-8.692,0,0.384,0.136,6.44e-05,0.173,0.678,140.063,6871401,87,82,17,0,1
not nice,partynextdoor,2016,08,0.598,0.496,0,-9.309,1,0.0804,0.0253,0.00132,0.12,0.725,128.06,2001736,77,83,5,0,1
everything 1k,kodak black,2016,06,0.517,0.61,1,-6.373,1,0.372,0.153,0,0.416,0.163,135.498,5181163,85,84,1,1,1
everyday,ariana grande,2016,05,0.637,0.733,7,-4.387,0,0.0553,0.0152,0,0.162,0.432,131.005,37569989,94,85,1,1,1
road less traveled,lauren alaina,2017,01,0.611,0.886,0,-4.673,1,0.0343,0.0551,1.1e-06,0.247,0.27,112.988,306511,68,86,4,0,1
rolex,ayo,2017,03,0.804,0.886,1,-2.512,1,0.04,0.0837,0,0.266,0.789,144.946,610025,63,87,1,1,1
cash me outside,dj suede the remix god,2017,01,0.981,0.417,11,-10.732,0,0.134,0.0471,0.359,0.103,0.262,122.044,50331,40,88,1,1,1
selfish,pnb rock,2017,01,0.638,0.6,1,-5.84,0,0.0438,0.114,0,0.187,0.0399,101.981,2123884,82,89,15,0,1
wanna be that song,brett eldredge,2015,09,0.518,0.686,9,-4.911,1,0.0313,0.114,0,0.114,0.334,144.065,997473,68,90,20,0,1
how far i'll go,alessia cara,2016,11,0.317,0.562,9,-9.609,1,0.395,0.124,0.000144,0.0667,0.132,181.1,6213116,83,91,11,0,1
black,dierks bentley,2016,06,0.663,0.656,1,-6.548,1,0.0413,0.27,0.000279,0.117,0.56,120.037,1975722,73,92,4,0,1
yeah boy,kelsea ballerini,2015,05,0.589,0.809,3,-5.292,1,0.0376,0.231,0,0.0719,0.496,88.965,719664,76,94,1,1,1
sex with me,rihanna,2016,01,0.614,0.541,1,-5.659,0,0.0407,0.292,0,0.106,0.394,112.013,34643188,90,95,15,0,1
hurricane,luke combs,2017,06,0.464,0.813,10,-6.185,1,0.0416,0.0153,0,0.254,0.516,75.975,1833533,83,96,1,1,1
some kind of drug,g-eazy,2015,12,0.586,0.525,0,-8.968,1,0.498,0.0705,0,0.0729,0.491,126.51,4142062,86,97,3,0,1
el amante,nicky jam,2017,01,0.683,0.691,8,-5.535,1,0.0432,0.243,0,0.14,0.732,179.91,10124107,92,98,2,0,1
redbone,childish gambino,2016,12,0.743,0.347,1,-11.174,1,0.121,0.167,0.00951,0.103,0.572,160.143,5577548,80,99,12,0,1
scared to be lonely,martin garrix,2017,01,0.584,0.54,1,-7.786,0,0.0576,0.0895,0,0.261,0.195,137.972,11826145,85,100,2,0,1
despacito,luis fonsi,2017,04,0.653,0.816,2,-4.353,1,0.167,0.228,0,0.0967,0.816,178.086,7348411,82,1,28,0,1
wild thoughts,dj khaled,2017,06,0.613,0.681,8,-3.089,1,0.0778,0.0287,0,0.126,0.619,97.621,4267785,81,2,6,0,1
that's what i like,bruno mars,2017,05,0.845,0.569,1,-5.127,1,0.0414,0.0135,0,0.0898,0.848,134.047,22783246,89,3,28,0,1
believer,imagine dragons,2017,06,0.776,0.78,10,-4.374,0,0.128,0.0622,0,0.081,0.666,124.949,22913687,90,5,25,0,1
unforgettable,french montana,2017,07,0.726,0.769,6,-5.043,1,0.123,0.0293,0.0101,0.104,0.733,97.985,3106274,85,6,16,0,1
shape of you,ed sheeran,2017,03,0.825,0.652,1,-3.183,0,0.0802,0.581,0,0.0931,0.931,95.977,53364183,96,7,29,0,1
attention,charlie puth,2018,05,0.775,0.613,3,-4.586,0,0.0542,0.109,2.33e-05,0.134,0.797,100.066,8300825,83,9,14,0,1
body like a back road,sam hunt,2017,02,0.731,0.469,5,-7.226,1,0.0326,0.463,1.04e-06,0.103,0.631,98.963,1675719,74,10,26,0,1
congratulations,post malone,2016,12,0.63,0.804,6,-4.183,1,0.0363,0.215,0,0.253,0.492,123.146,18914903,100,11,31,0,1
humble.,kendrick lamar,2017,04,0.908,0.621,1,-6.638,0,0.102,0.000282,5.39e-05,0.0958,0.421,150.011,13395681,89,12,17,0,1
redbone,childish gambino,2016,12,0.743,0.347,1,-11.174,1,0.121,0.167,0.00951,0.103,0.572,160.143,5577548,80,13,34,0,1
stay,zedd,2017,02,0.69,0.622,5,-5.025,0,0.0622,0.253,0,0.116,0.544,102.04,4818119,85,14,22,0,1
something just like this,the chainsmokers,2017,04,0.617,0.635,11,-6.769,0,0.0317,0.0498,1.44e-05,0.164,0.446,103.019,14288910,89,15,23,0,1
strip that down,liam payne,2017,05,0.874,0.497,6,-5.484,1,0.0562,0.22,0,0.0761,0.542,106.023,4366389,77,16,10,0,1
xo tour llif3,lil uzi vert,2017,08,0.732,0.75,11,-6.366,0,0.231,0.00264,0,0.109,0.401,155.096,7140430,88,17,18,0,1
slow hands,niall horan,2017,10,0.726,0.431,0,-6.666,1,0.0554,0.0139,0,0.054,0.86,85.889,4257476,80,18,13,0,1
now or never,halsey,2017,06,0.67,0.585,6,-4.861,0,0.0354,0.107,1.11e-06,0.131,0.447,110.03,8132887,90,19,16,0,1
mask off,future,2017,06,0.833,0.434,2,-8.795,1,0.431,0.0102,0.0219,0.165,0.281,150.062,8102257,88,20,23,0,1
bank account,21 savage,2017,09,0.884,0.346,8,-8.228,0,0.351,0.0151,7.04e-06,0.0871,0.376,75.016,6871401,87,21,3,0,1
feels,calvin harris,2017,06,0.893,0.745,11,-3.105,0,0.0571,0.0642,0,0.0943,0.872,101.018,18623166,87,23,6,0,1
say you won't let go,james arthur,2016,10,0.358,0.557,10,-7.398,1,0.059,0.695,0,0.0902,0.494,85.043,4853943,86,24,40,0,1
castle on the hill,ed sheeran,2017,03,0.461,0.834,2,-4.868,1,0.0989,0.0232,1.14e-05,0.14,0.471,135.007,53364183,96,25,29,0,1
sorry not sorry,demi lovato,2017,09,0.705,0.64,11,-6.928,0,0.225,0.0237,0,0.262,0.887,144.077,15395017,84,26,3,0,1
location,khalid,2017,04,0.736,0.449,1,-11.462,0,0.425,0.33,0.000162,0.0898,0.326,80.126,9018136,95,27,29,0,1
bodak yellow,cardi b,2018,04,0.926,0.703,11,-6.337,0,0.103,0.0659,0,0.231,0.485,125.022,9774706,91,28,4,0,1
2u,david guetta,2017,06,0.542,0.654,8,-5.862,0,0.0537,0.23,0,0.241,0.563,144.971,20224107,89,29,7,0,1
mi gente,j balvin,2017,06,0.774,0.687,11,-4.818,0,0.0584,0.0179,1.17e-05,0.128,0.308,104.959,16138929,97,30,4,0,1
slippery,migos,2017,01,0.92,0.674,1,-5.662,0,0.264,0.307,0,0.104,0.741,141.967,9525378,85,31,18,0,1
rake it up,yo gotti,2017,10,0.91,0.444,1,-8.126,0,0.344,0.022,0,0.137,0.53,149.953,2599687,76,32,4,0,1
magnolia,playboi carti,2017,04,0.791,0.581,11,-7.323,0,0.286,0.0113,0,0.35,0.438,162.99,2805266,83,33,13,0,1
numb,linkin park,2003,03,0.496,0.863,9,-4.153,1,0.0381,0.0046,0,0.639,0.243,110.018,13890194,86,34,33,0,1
issues,julia michaels,2017,07,0.728,0.415,8,-6.852,1,0.0639,0.401,0,0.0616,0.455,114.145,2283396,84,35,27,0,1
everyday we lit,yfn lucci,2017,03,0.758,0.646,7,-4.701,1,0.112,0.128,0,0.0778,0.589,155.955,1261076,68,36,16,0,1
in the end,linkin park,2000,10,0.542,0.853,3,-6.407,0,0.0498,0.0103,0,0.108,0.37,105.256,13890194,86,37,39,0,1
praying,kesha,2017,08,0.576,0.39,10,-7.202,1,0.0297,0.491,0,0.111,0.319,73.433,4964261,79,38,3,0,1
closer,the chainsmokers,2016,07,0.748,0.524,8,-5.599,1,0.0338,0.414,0,0.111,0.661,95.01,14288910,89,39,52,0,1
back to you,louis tomlinson,2017,07,0.683,0.53,5,-4.918,0,0.142,0.207,0,0.394,0.645,75.016,2587311,72,40,1,1,1
fetish,selena gomez,2017,07,0.707,0.611,2,-4.474,1,0.0639,0.0198,3.59e-06,0.0651,0.285,123.006,17506985,91,41,3,0,1
malibu,miley cyrus,2017,09,0.573,0.781,8,-6.406,1,0.0555,0.0767,2.64e-05,0.0813,0.343,139.934,10150859,87,42,12,0,1
drowning,a boogie wit da hoodie,2017,09,0.839,0.81,5,-5.274,0,0.0568,0.501,0,0.117,0.814,129.014,3560214,89,43,17,0,1
in case you didn't know,brett young,2017,02,0.607,0.536,10,-7.306,1,0.0305,0.386,0,0.102,0.434,147.986,432230,74,44,25,0,1
heavy,linkin park,2017,05,0.59,0.671,9,-6.098,1,0.0706,0.0484,0,0.0604,0.438,149.982,13890194,86,45,18,0,1
love galore,sza,2017,06,0.795,0.594,0,-6.2,1,0.0747,0.111,0,0.162,0.409,135.002,2877449,83,46,7,0,1
the fighter,keith urban,2016,05,0.681,0.845,11,-5.147,0,0.0525,0.0304,0,0.197,0.761,132.023,3371592,74,47,23,0,1
craving you,thomas rhett,2017,09,0.613,0.839,9,-3.799,0,0.0352,0.000854,0,0.341,0.526,104.975,2986520,79,48,17,0,1
small town boy,dustin lynch,2017,09,0.554,0.743,9,-6.016,1,0.0287,0.0251,0,0.359,0.673,72.997,1164968,71,49,8,0,1
rolex,ayo,2017,03,0.804,0.886,1,-2.512,1,0.04,0.0837,0,0.266,0.789,144.946,610025,63,50,24,0,1
whatever you need,meek mill,2017,07,0.519,0.57,1,-7.366,1,0.202,0.0254,0,0.0821,0.317,164.155,3622740,86,51,3,0,1
my girl,dylan scott,2017,08,0.652,0.719,1,-7.251,1,0.033,0.0353,0,0.108,0.24,94.969,557031,68,52,14,0,1
versace on the floor,bruno mars,2016,11,0.578,0.574,2,-6.209,1,0.0454,0.196,0,0.083,0.301,174.152,22783246,89,53,7,0,1
bad liar,selena gomez,2017,05,0.965,0.414,1,-6.408,1,0.0713,0.189,0,0.0767,0.728,121.032,17506985,91,54,11,0,1
feel it still,portugal. the man,2017,06,0.801,0.795,1,-5.115,0,0.0504,0.0417,0.000113,0.0717,0.754,79.028,1002651,72,55,6,0,1
felices los 4,maluma,2018,05,0.766,0.756,5,-5.861,1,0.132,0.213,0,0.349,0.716,94.027,17375293,91,56,11,0,1
1-800-273-8255,logic,2017,05,0.62,0.574,5,-7.788,0,0.0479,0.57,0,0.19,0.352,100.021,4161049,86,57,13,0,1
do i make you wanna,billy currington,2015,06,0.549,0.751,9,-5.423,1,0.0299,0.122,0,0.208,0.493,89.953,1520602,70,58,7,0,1
dna.,kendrick lamar,2017,04,0.638,0.523,1,-6.664,1,0.357,0.00454,0,0.0842,0.422,139.913,13395681,89,59,15,0,1
drinkin' problem,midland,2017,09,0.622,0.763,9,-6.4,1,0.0263,0.055,8.91e-06,0.315,0.621,102.0,111873,67,60,12,0,1
what ifs,kane brown,2016,12,0.612,0.799,10,-4.603,1,0.0275,0.00898,0,0.172,0.687,125.976,1931483,82,63,7,0,1
loyalty.,kendrick lamar,2017,04,0.658,0.535,9,-8.983,0,0.0573,0.0265,0,0.2,0.419,110.684,13395681,89,64,15,0,1
butterfly effect,travis scott,2018,08,0.763,0.628,11,-5.85,1,0.05,0.0531,0,0.114,0.193,140.958,6947908,96,65,9,0,1
no such thing as a broken heart,old dominion,2017,08,0.65,0.782,8,-4.295,1,0.0721,0.295,0,0.107,0.944,171.988,603680,76,66,9,0,1
flatliner,cole swindell,2016,05,0.555,0.896,0,-3.295,1,0.0388,0.00434,0,0.145,0.578,114.995,1175545,71,67,14,0,1
no promises,cheat codes,2017,03,0.739,0.619,10,-6.669,1,0.162,0.0572,0,0.105,0.58,112.961,1372572,80,68,11,0,1
thunder,imagine dragons,2017,06,0.605,0.822,0,-4.833,1,0.0438,0.00671,0.134,0.147,0.288,167.997,22913687,90,69,13,0,1
you look good,lady antebellum,2017,06,0.653,0.911,0,-4.635,1,0.0439,0.0338,0.000659,0.081,0.942,152.043,2669455,73,70,16,0,1
escapate conmigo,wisin,2017,12,0.744,0.859,11,-3.166,1,0.0795,0.0256,6.27e-05,0.0881,0.787,91.977,4990185,83,71,7,0,1
most girls,hailee steinfeld,2017,04,0.76,0.588,9,-7.082,1,0.0775,0.0485,0,0.0847,0.384,102.974,4921391,80,72,10,0,1
heartache on the dance floor,jon pardi,2016,05,0.594,0.824,9,-4.252,1,0.0458,0.0617,0,0.0861,0.671,116.005,857235,75,73,4,0,1
crew,goldlink,2017,03,0.728,0.607,1,-8.417,0,0.132,0.133,0,0.0864,0.445,129.938,548452,76,74,5,0,1
love.,kendrick lamar,2017,04,0.8,0.585,10,-7.343,1,0.0924,0.264,0,0.153,0.779,126.058,13395681,89,75,15,0,1
somebody else will,justin moore,2016,01,0.488,0.744,2,-4.284,0,0.131,0.0353,0,0.0952,0.59,180.007,1032721,68,76,8,0,1
issues,meek mill,2017,07,0.784,0.608,7,-5.885,1,0.245,0.167,0,0.0871,0.382,90.713,3622740,86,77,1,1,1
privacy,chris brown,2017,03,0.741,0.58,0,-7.741,1,0.378,0.153,0,0.109,0.428,97.092,9765966,92,78,13,0,1
wins & losses,meek mill,2017,08,0.683,0.854,2,-3.915,1,0.196,0.0948,0,0.267,0.131,92.006,3622740,86,79,1,1,1
passionfruit,drake,2017,03,0.804,0.459,11,-11.556,1,0.039,0.304,0.0862,0.11,0.372,111.963,41754617,97,80,19,0,1
young dumb & broke,khalid,2017,04,0.798,0.539,1,-6.351,1,0.0421,0.199,1.66e-05,0.165,0.394,136.949,9018136,95,82,2,0,1
1942 flows,meek mill,2017,07,0.63,0.628,2,-4.016,1,0.327,0.0515,0,0.091,0.266,121.307,3622740,86,83,1,1,1
first day out,tee grizzley,2017,04,0.587,0.711,1,-6.33,1,0.42,0.171,0,0.125,0.381,98.008,1516590,78,84,17,0,1
glorious,macklemore,2017,09,0.731,0.794,0,-5.126,0,0.0522,0.0323,2.59e-05,0.112,0.356,139.994,1450544,80,85,3,0,1
swalla,jason derulo,2017,02,0.696,0.817,1,-3.862,1,0.109,0.075,0,0.187,0.782,98.064,7145439,82,86,19,0,1
yours if you want it,rascal flatts,2017,05,0.554,0.903,8,-3.152,1,0.0515,0.0103,0,0.107,0.419,112.998,2083298,74,87,10,0,1
4 am,2 chainz,2017,06,0.796,0.5,1,-7.21,1,0.425,0.118,0,0.155,0.227,75.012,4978316,84,88,8,0,1
god  your mama  and me,florida georgia line,2016,08,0.439,0.802,7,-3.644,1,0.054,0.333,0,0.377,0.725,168.032,3277796,82,89,18,0,1
down,fifth harmony,2017,10,0.53,0.512,8,-7.094,1,0.133,0.0162,7.04e-05,0.128,0.401,196.121,9500825,75,90,7,0,1
imitadora,romeo santos,2017,07,0.737,0.709,8,-6.889,0,0.045,0.333,0,0.289,0.556,125.997,9194966,85,91,1,1,1
subeme la radio,enrique iglesias,2017,02,0.684,0.823,9,-3.297,0,0.0773,0.0744,0,0.111,0.647,91.048,8831745,79,92,8,0,1
it ain't my fault,brothers osborne,2016,01,0.735,0.831,9,-5.898,1,0.0332,0.00166,0.217,0.291,0.756,123.017,537249,68,93,6,0,1
el amante,nicky jam,2017,01,0.683,0.691,8,-5.535,1,0.0432,0.243,0,0.14,0.732,179.91,10124107,92,94,12,0,1
we ball,meek mill,2017,08,0.624,0.728,0,-6.39,1,0.465,0.141,0,0.106,0.599,152.088,3622740,86,96,1,1,1
f**k that check up,meek mill,2017,08,0.86,0.717,11,-4.614,0,0.297,0.00246,0,0.159,0.528,148.955,3622740,86,97,1,1,1
signs,drake,2017,06,0.79,0.734,0,-4.66,1,0.0524,0.0853,0.00409,0.112,0.223,107.369,41754617,97,98,5,0,1
heavy heart,meek mill,2017,08,0.472,0.695,10,-5.008,0,0.443,0.239,0,0.0942,0.351,73.031,3622740,86,99,1,1,1
reminder,the weeknd,2016,11,0.705,0.505,8,-6.923,1,0.192,0.142,0,0.164,0.391,160.043,17508909,89,100,12,0,1
despacito,luis fonsi,2017,04,0.653,0.816,2,-4.353,1,0.167,0.228,0,0.0967,0.816,178.086,7348411,82,1,21,0,1
that's what i like,bruno mars,2017,05,0.845,0.569,1,-5.127,1,0.0414,0.0135,0,0.0898,0.848,134.047,22783246,89,2,21,0,1
shape of you,ed sheeran,2017,03,0.825,0.652,1,-3.183,0,0.0802,0.581,0,0.0931,0.931,95.977,53364183,96,4,22,0,1
humble.,kendrick lamar,2017,04,0.908,0.621,1,-6.638,0,0.102,0.000282,5.39e-05,0.0958,0.421,150.011,13395681,89,5,10,0,1
mask off,future,2017,06,0.833,0.434,2,-8.795,1,0.431,0.0102,0.0219,0.165,0.281,150.062,8102257,88,6,16,0,1
xo tour llif3,lil uzi vert,2017,08,0.732,0.75,11,-6.366,0,0.231,0.00264,0,0.109,0.401,155.096,7140430,88,7,11,0,1
something just like this,the chainsmokers,2017,04,0.617,0.635,11,-6.769,0,0.0317,0.0498,1.44e-05,0.164,0.446,103.019,14288910,89,8,16,0,1
stay,zedd,2017,02,0.69,0.622,5,-5.025,0,0.0622,0.253,0,0.116,0.544,102.04,4818119,85,9,15,0,1
congratulations,post malone,2016,12,0.63,0.804,6,-4.183,1,0.0363,0.215,0,0.253,0.492,123.146,18914903,100,10,24,0,1
say you won't let go,james arthur,2016,10,0.358,0.557,10,-7.398,1,0.059,0.695,0,0.0902,0.494,85.043,4853943,86,11,33,0,1
issues,julia michaels,2017,07,0.728,0.415,8,-6.852,1,0.0639,0.401,0,0.0616,0.455,114.145,2283396,84,12,20,0,1
believer,imagine dragons,2017,06,0.776,0.78,10,-4.374,0,0.128,0.0622,0,0.081,0.666,124.949,22913687,90,13,18,0,1
body like a back road,sam hunt,2017,02,0.731,0.469,5,-7.226,1,0.0326,0.463,1.04e-06,0.103,0.631,98.963,1675719,74,14,19,0,1
redbone,childish gambino,2016,12,0.743,0.347,1,-11.174,1,0.121,0.167,0.00951,0.103,0.572,160.143,5577548,80,16,27,0,1
unforgettable,french montana,2017,07,0.726,0.769,6,-5.043,1,0.123,0.0293,0.0101,0.104,0.733,97.985,3106274,85,17,9,0,1
ispy,kyle,2016,12,0.746,0.653,7,-6.745,1,0.289,0.378,0,0.229,0.672,75.016,794051,75,19,24,0,1
in case you didn't know,brett young,2017,02,0.607,0.536,10,-7.306,1,0.0305,0.386,0,0.102,0.434,147.986,432230,74,20,18,0,1
now or never,halsey,2017,06,0.67,0.585,6,-4.861,0,0.0354,0.107,1.11e-06,0.131,0.447,110.03,8132887,90,21,9,0,1
location,khalid,2017,04,0.736,0.449,1,-11.462,0,0.425,0.33,0.000162,0.0898,0.326,80.126,9018136,95,22,22,0,1
castle on the hill,ed sheeran,2017,03,0.461,0.834,2,-4.868,1,0.0989,0.0232,1.14e-05,0.14,0.471,135.007,53364183,96,23,22,0,1
rolex,ayo,2017,03,0.804,0.886,1,-2.512,1,0.04,0.0837,0,0.266,0.789,144.946,610025,63,24,17,0,1
sign of the times,harry styles,2017,05,0.516,0.595,5,-4.63,1,0.0313,0.0275,0,0.109,0.222,119.972,5181048,83,25,9,0,1
malibu,miley cyrus,2017,09,0.573,0.781,8,-6.406,1,0.0555,0.0767,2.64e-05,0.0813,0.343,139.934,10150859,87,26,5,0,1
dna.,kendrick lamar,2017,04,0.638,0.523,1,-6.664,1,0.357,0.00454,0,0.0842,0.422,139.913,13395681,89,27,8,0,1
slow hands,niall horan,2017,10,0.726,0.431,0,-6.666,1,0.0554,0.0139,0,0.054,0.86,85.889,4257476,80,28,6,0,1
swalla,jason derulo,2017,02,0.696,0.817,1,-3.862,1,0.109,0.075,0,0.187,0.782,98.064,7145439,82,29,12,0,1
bad and boujee,migos,2017,01,0.927,0.665,11,-5.313,1,0.244,0.061,0,0.123,0.175,127.076,9525378,85,30,30,0,1
attention,charlie puth,2018,05,0.775,0.613,3,-4.586,0,0.0542,0.109,2.33e-05,0.134,0.797,100.066,8300825,83,31,7,0,1
closer,the chainsmokers,2016,07,0.748,0.524,8,-5.599,1,0.0338,0.414,0,0.111,0.661,95.01,14288910,89,32,45,0,1
swang,rae sremmurd,2016,08,0.681,0.314,8,-9.319,1,0.0581,0.2,9.82e-06,0.1,0.166,139.992,5299275,79,33,25,0,1
passionfruit,drake,2017,03,0.804,0.459,11,-11.556,1,0.039,0.304,0.0862,0.11,0.372,111.963,41754617,97,34,12,0,1
slide,calvin harris,2017,02,0.736,0.795,1,-3.299,0,0.0545,0.498,1.21e-06,0.254,0.511,104.066,18623166,87,35,15,0,1
goosebumps,travis scott,2016,09,0.841,0.728,7,-3.37,1,0.0484,0.0847,0,0.149,0.43,130.049,6947908,96,36,30,0,1
hurricane,luke combs,2017,06,0.464,0.813,10,-6.185,1,0.0416,0.0153,0,0.254,0.516,75.975,1833533,83,37,17,0,1
tunnel vision,kodak black,2017,03,0.497,0.489,11,-7.724,0,0.294,0.0576,9.91e-05,0.122,0.231,171.853,5181163,85,38,16,0,1
t-shirt,migos,2017,01,0.865,0.687,10,-3.744,0,0.217,0.242,0,0.158,0.486,139.023,9525378,85,39,21,0,1
magnolia,playboi carti,2017,04,0.791,0.581,11,-7.323,0,0.286,0.0113,0,0.35,0.438,162.99,2805266,83,40,6,0,1
24k magic,bruno mars,2016,11,0.818,0.803,1,-4.282,1,0.0797,0.034,0,0.153,0.632,106.97,22783246,89,41,35,0,1
down,fifth harmony,2017,10,0.53,0.512,8,-7.094,1,0.133,0.0162,7.04e-05,0.128,0.401,196.121,9500825,75,42,1,1,1
slippery,migos,2017,01,0.92,0.674,1,-5.662,0,0.264,0.307,0,0.104,0.741,141.967,9525378,85,43,11,0,1
drowning,a boogie wit da hoodie,2017,09,0.839,0.81,5,-5.274,0,0.0568,0.501,0,0.117,0.814,129.014,3560214,89,44,10,0,1
bad liar,selena gomez,2017,05,0.965,0.414,1,-6.408,1,0.0713,0.189,0,0.0767,0.728,121.032,17506985,91,45,4,0,1
the cure,lady gaga,2017,04,0.697,0.506,8,-4.863,1,0.0325,0.0792,0,0.0893,0.516,100.002,9500816,87,46,8,0,1
scars to your beautiful,alessia cara,2015,11,0.573,0.739,0,-5.74,1,0.129,0.0285,0,0.111,0.451,97.085,6213116,83,47,41,0,1
the fighter,keith urban,2016,05,0.681,0.845,11,-5.147,0,0.0525,0.0304,0,0.197,0.761,132.023,3371592,74,48,18,0,1
rockabye,clean bandit,2016,10,0.72,0.763,9,-4.068,0,0.0523,0.406,0,0.18,0.742,101.965,3371574,81,49,27,0,1
god  your mama  and me,florida georgia line,2016,08,0.439,0.802,7,-3.644,1,0.054,0.333,0,0.377,0.725,168.032,3277796,82,50,11,0,1
strip that down,liam payne,2017,05,0.874,0.497,6,-5.484,1,0.0562,0.22,0,0.0761,0.542,106.023,4366389,77,51,3,0,1
craving you,thomas rhett,2017,09,0.613,0.839,9,-3.799,0,0.0352,0.000854,0,0.341,0.526,104.975,2986520,79,52,10,0,1
to the max,dj khaled,2017,06,0.461,0.812,10,-5.776,0,0.241,0.0184,0.000375,0.21,0.72,159.869,4267785,81,53,1,1,1
if i told you,darius rucker,2017,10,0.532,0.64,9,-6.684,1,0.0314,0.344,0,0.361,0.308,84.029,1372133,69,54,8,0,1
look at me!,xxxtentacion,2017,02,0.763,0.726,1,-6.405,1,0.282,0.259,0,0.0976,0.349,139.059,15967406,92,55,18,0,1
crying in the club,camila cabello,2017,05,0.334,0.617,6,-5.834,0,0.383,0.334,0,0.163,0.603,85.227,12719494,93,56,3,0,1
love.,kendrick lamar,2017,04,0.8,0.585,10,-7.343,1,0.0924,0.264,0,0.153,0.779,126.058,13395681,89,57,8,0,1
cold,maroon 5,2018,06,0.693,0.717,9,-6.346,0,0.107,0.14,0,0.0464,0.412,99.836,20610226,91,58,17,0,1
first day out,tee grizzley,2017,04,0.587,0.711,1,-6.33,1,0.42,0.171,0,0.125,0.381,98.008,1516590,78,59,10,0,1
how not to,dan + shay,2016,06,0.501,0.836,11,-3.587,0,0.0491,0.208,0,0.152,0.618,159.863,1198002,85,60,10,0,1
my girl,dylan scott,2017,08,0.652,0.719,1,-7.251,1,0.033,0.0353,0,0.108,0.24,94.969,557031,68,61,7,0,1
everyday we lit,yfn lucci,2017,03,0.758,0.646,7,-4.701,1,0.112,0.128,0,0.0778,0.589,155.955,1261076,68,62,9,0,1
every time i hear that song,blake shelton,2016,05,0.523,0.725,2,-5.448,1,0.0339,0.0558,6.96e-06,0.0937,0.528,155.855,4533843,76,63,5,0,1
portland,drake,2017,03,0.924,0.444,1,-8.227,1,0.243,0.0143,0,0.26,0.314,136.088,41754617,97,64,12,0,1
1-800-273-8255,logic,2017,05,0.62,0.574,5,-7.788,0,0.0479,0.57,0,0.19,0.352,100.021,4161049,86,65,6,0,1
you look good,lady antebellum,2017,06,0.653,0.911,0,-4.635,1,0.0439,0.0338,0.000659,0.081,0.942,152.043,2669455,73,66,9,0,1
heavy,linkin park,2017,05,0.59,0.671,9,-6.098,1,0.0706,0.0484,0,0.0604,0.438,149.982,13890194,86,67,16,0,1
privacy,chris brown,2017,03,0.741,0.58,0,-7.741,1,0.378,0.153,0,0.109,0.428,97.092,9765966,92,68,6,0,1
drinkin' problem,midland,2017,09,0.622,0.763,9,-6.4,1,0.0263,0.055,8.91e-06,0.315,0.621,102.0,111873,67,69,5,0,1
felices los 4,maluma,2018,05,0.766,0.756,5,-5.861,1,0.132,0.213,0,0.349,0.716,94.027,17375293,91,70,4,0,1
black,dierks bentley,2016,06,0.663,0.656,1,-6.548,1,0.0413,0.27,0.000279,0.117,0.56,120.037,1975722,73,71,18,0,1
flatliner,cole swindell,2016,05,0.555,0.896,0,-3.295,1,0.0388,0.00434,0,0.145,0.578,114.995,1175545,71,72,7,0,1
4 am,2 chainz,2017,06,0.796,0.5,1,-7.21,1,0.425,0.118,0,0.155,0.227,75.012,4978316,84,73,1,1,1
loyalty.,kendrick lamar,2017,04,0.658,0.535,9,-8.983,0,0.0573,0.0265,0,0.2,0.419,110.684,13395681,89,74,8,0,1
losin control,russ,2017,05,0.759,0.245,6,-6.545,1,0.138,0.515,0.000154,0.102,0.209,96.992,2786639,84,75,15,0,1
